fraction,inch_decimal,mm
0,0.000000,0.000
1/64,0.015625,0.397
1/32,0.031250,0.794
3/64,0.046875,1.191
1/16,0.062500,1.587
5/64,0.078125,1.984
3/32,0.093750,2.381
7/64,0.109375,2.778
1/8,0.125000,3.175
9/64,0.140625,3.572
5/32,0.156250,3.969
11/64,0.171875,4.366
3/16,0.187500,4.762
13/64,0.203125,5.159
7/32,0.218750,5.556
15/64,0.234375,5.953
1/4,0.250000,6.350
17/64,0.265625,6.747
9/32,0.281250,7.144
19/64,0.296875,7.541
5/16,0.312500,7.938
21/64,0.328125,8.334
11/32,0.343750,8.731
23/64,0.359375,9.128
3/8,0.375000,9.525
25/64,0.390625,9.922
13/32,0.406250,10.319
27/64,0.421875,10.716
7/16,0.437500,11.112
29/64,0.453125,11.509
15/32,0.468750,11.906
31/64,0.484375,12.303
1/2,0.500000,12.700
33/64,0.515625,13.097
17/32,0.531250,13.494
35/64,0.546875,13.891
9/16,0.562500,14.287
37/64,0.578125,14.684
19/32,0.593750,15.081
39/64,0.609375,15.478
5/8,0.625000,15.875
41/64,0.640625,16.272
21/32,0.656250,16.669
43/64,0.671875,17.066
11/16,0.687500,17.462
45/64,0.703125,17.859
23/32,0.718750,18.256
47/64,0.734375,18.653
3/4,0.750000,19.050
49/64,0.765625,19.447
25/32,0.781250,19.844
51/64,0.796875,20.241
13/16,0.812500,20.637
53/64,0.828125,21.034
27/32,0.843750,21.431
55/64,0.859375,21.828
7/8,0.875000,22.225
57/64,0.890625,22.622
29/32,0.906250,23.019
59/64,0.921875,23.416
15/16,0.937500,23.812
61/64,0.953125,24.209
31/32,0.968750,24.606
63/64,0.984375,25.003
1,1.000000,25.400
